source,brand,title,price,url,image_url,tags,sales_volume,raw_data,total_count,unit_price
PChome,益生菌膠,益生菌膠囊2盒組(60顆x2盒),3299,https://24h.pchome.com.tw/prod/CFADBL-A900556MI,https://cs-a.ecimg.tw/items/CFADBLA900556MI/000001_1762236714.jpg,💊膠囊,0,益生菌膠囊2盒組(60顆x2盒),120.0,27.49
PChome,3效順暢,3效順暢益生菌膠囊60粒,799,https://24h.pchome.com.tw/prod/DBBC1E-A900AHQQI,https://cs-a.ecimg.tw/items/DBBC1EA900AHQQI/000001_1768545424.jpg,💊膠囊,0,3效順暢益生菌膠囊60粒,60.0,13.32
PChome,常順軍益,常順軍益生菌-頂級保健S(4g*30包/盒),1200,https://24h.pchome.com.tw/prod/DBBB5X-A900G8H91,https://cs-a.ecimg.tw/items/DBBB5XA900G8H91/000001_1746148691.jpg,,0,常順軍益生菌-頂級保健S(4g*30包/盒),,0.0
PChome,常順軍益,常順軍益生菌-日常保健版S (2.5克*30包/盒),850,https://24h.pchome.com.tw/prod/DBBB5X-A900G8H84,https://cs-a.ecimg.tw/items/DBBB5XA900G8H84/000001_1746148718.jpg,,0,常順軍益生菌-日常保健版S (2.5克*30包/盒),,0.0
PChome,三效順暢,三效順暢益生菌粉 40包,849,https://24h.pchome.com.tw/prod/DBBC1E-A900BGPK9,https://cs-a.ecimg.tw/items/DBBC1EA900BGPK9/000001_1768545405.jpg,,0,三效順暢益生菌粉 40包,,0.0
PChome,黑暢酵益,黑暢酵益生菌(5克x30入/1袋),1480,https://24h.pchome.com.tw/prod/DBAUIE-A900EVUO5,https://cs-a.ecimg.tw/items/DBAUIEA900EVUO5/000001_1761705464.jpg,,0,黑暢酵益生菌(5克x30入/1袋),,0.0
PChome,712D益生菌-克菲爾PLUS,【712D益生菌-克菲爾PLUS】調整體質ｘ排便順暢(30包/盒),1410,https://24h.pchome.com.tw/prod/DBCC0L-A900ID5KZ,https://cs-a.ecimg.tw/items/DBCC0LA900ID5KZ/000001_1763353784.jpg,,0,【712D益生菌-克菲爾PLUS】調整體質ｘ排便順暢(30包/盒),,0.0
PChome,官方直營,官方直營升級版 好欣情-PS128快樂益生菌30包/盒 二入組(醫師好辣推薦-蔡英傑教授領導開發惠生研生技),2516,https://24h.pchome.com.tw/prod/QEAB69-A900AMCUX,https://cs-a.ecimg.tw/items/QEAB69A900AMCUX/000001_1707277013.jpg,,0,官方直營升級版 好欣情-PS128快樂益生菌30包/盒 二入組(醫師好辣推薦-蔡英傑教授領導開發惠生研生技),,0.0
PChome,樂亦康A,樂亦康APF益生菌膠囊1入組(150顆/入),2430,https://24h.pchome.com.tw/prod/DBAUIN-A900GGKMP,https://cs-a.ecimg.tw/items/DBAUINA900GGKMP/000001_1735888810.jpg,💊膠囊,0,樂亦康APF益生菌膠囊1入組(150顆/入),150.0,16.2
PChome,舒眠益生,舒眠益生菌膠囊60粒,1475,https://24h.pchome.com.tw/prod/DBDN0I-A900GK8C2,https://cs-a.ecimg.tw/items/DBDN0IA900GK8C2/000001_1768545384.jpg,💊膠囊,0,舒眠益生菌膠囊60粒,60.0,24.58
PChome,睡益益生,睡益益生菌(2克x30入/袋),1470,https://24h.pchome.com.tw/prod/DBAUEO-A900DZZ33,https://cs-a.ecimg.tw/items/DBAUEOA900DZZ33/000001_1732074374.jpg,,0,睡益益生菌(2克x30入/袋),,0.0
PChome,璽莓 (,璽莓 (100包/盒) 包埋乳酸菌/益生菌+蔓越梅,2400,https://24h.pchome.com.tw/prod/DBBB77-A900G8WRH,https://cs-a.ecimg.tw/items/DBBB77A900G8WRH/000001_1681894316.jpg,,0,璽莓 (100包/盒) 包埋乳酸菌/益生菌+蔓越梅,,0.0
PChome,官方直營,官方直營升級版 好欣情-PS128快樂益生菌30包/盒(醫師好辣推薦-蔡英傑教授領導開發惠生研生技),1480,https://24h.pchome.com.tw/prod/QEAB69-A900AMCUI,https://cs-a.ecimg.tw/items/QEAB69A900AMCUI/000001_1707277151.jpg,,0,官方直營升級版 好欣情-PS128快樂益生菌30包/盒(醫師好辣推薦-蔡英傑教授領導開發惠生研生技),,0.0
PChome,舒眠益生,舒眠益生菌膠囊30粒,849,https://24h.pchome.com.tw/prod/DBDN0I-A900GK7TU,https://cs-a.ecimg.tw/items/DBDN0IA900GK7TU/000001_1751353466.jpg,💊膠囊,0,舒眠益生菌膠囊30粒,30.0,28.3
PChome,LP28,LP28敏立清Plus益生菌-乳酸x5(30條/盒),2495,https://24h.pchome.com.tw/prod/DBCC0K-1900ICLK2,https://cs-a.ecimg.tw/items/DBCC0K1900ICLK2/000001_1766973572.jpg,,0,LP28敏立清Plus益生菌-乳酸x5(30條/盒),,0.0
PChome,澳洲原裝,澳洲原裝進口 B420益生菌一瓶60粒(301368),1290,https://24h.pchome.com.tw/prod/DBCC22-A900HP9MA,https://cs-a.ecimg.tw/items/DBCC22A900HP9MA/000001_1722490340.jpg,,0,澳洲原裝進口 B420益生菌一瓶60粒(301368),60.0,21.5
PChome,威德健康,威德健康益生菌 90包,1290,https://24h.pchome.com.tw/prod/DBAUEO-A900AY3U0,https://cs-a.ecimg.tw/items/DBAUEOA900AY3U0/000001_1619536472.jpg,,0,威德健康益生菌 90包,,0.0
PChome,官方直營,官方直營 升級版 益菌寶-K21代謝益生菌60包/盒 二入組(蔡英傑教授領導開發惠生研生技),2856,https://24h.pchome.com.tw/prod/QEAB69-A900AMCYN,https://cs-a.ecimg.tw/items/QEAB69A900AMCYN/000001_1724743316.jpg,,0,官方直營 升級版 益菌寶-K21代謝益生菌60包/盒 二入組(蔡英傑教授領導開發惠生研生技),,0.0
PChome,共60顆,共60顆益生菌膠囊1盒組,2200,https://24h.pchome.com.tw/prod/CFADAS-A900551MY,https://cs-a.ecimg.tw/items/CFADASA900551MY/000001_1762236827.jpg,💊膠囊,0,共60顆益生菌膠囊1盒組,60.0,36.67
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條X3盒),3280,https://24h.pchome.com.tw/prod/DBBA14-A9005TGIE,https://cs-a.ecimg.tw/items/DBBA14A9005TGIE/000001_1767326117.jpg,,0,【日本】晶球益生菌長益菌50+10加強保健(30條X3盒),,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),1190,https://24h.pchome.com.tw/prod/DBAD8N-A9007LOLH,https://cs-a.ecimg.tw/items/DBAD8NA9007LOLH/000001_1767326027.jpg,,0,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),,0.0
PChome,300億,300億純淨益生菌(30條/盒)x3盒,3280,https://24h.pchome.com.tw/prod/DBAUA4-1900BQGK2,https://cs-a.ecimg.tw/items/DBAUA41900BQGK2/000001_1764129268.jpg,,0,300億純淨益生菌(30條/盒)x3盒,,0.0
PChome,官方直營,官方直營 升級版 益菌寶-K21代謝益生菌60包/盒(蔡英傑教授領導開發惠生研生技),1680,https://24h.pchome.com.tw/prod/QEAB69-A900AMCXX,https://cs-a.ecimg.tw/items/QEAB69A900AMCXX/000001_1724743467.jpg,,0,官方直營 升級版 益菌寶-K21代謝益生菌60包/盒(蔡英傑教授領導開發惠生研生技),,0.0
PChome,日本,【日本】晶球益生菌長益菌-加強保健(30條X2盒)雙12特惠組,2200,https://24h.pchome.com.tw/prod/DBAD8N-A900C1I65,https://cs-a.ecimg.tw/items/DBAD8NA900C1I65/000001_1767326027.jpg,,0,【日本】晶球益生菌長益菌-加強保健(30條X2盒)雙12特惠組,,0.0
PChome,威德,【 威德】健康益生菌(90包),1199,https://24h.pchome.com.tw/prod/DBBC70-A900EDHTK,https://cs-a.ecimg.tw/items/DBBC70A900EDHTK/000001_1680753707.jpg,,0,【 威德】健康益生菌(90包),,0.0
PChome,優舒敏益,優舒敏益生菌複方膠囊(60錠/瓶),1140,https://24h.pchome.com.tw/prod/DBAUEU-A900AE7RZ,https://cs-a.ecimg.tw/items/DBAUEUA900AE7RZ/000001_1724056695.jpg,💊膠囊,0,優舒敏益生菌複方膠囊(60錠/瓶),60.0,19.0
PChome,官方直營,益生菌 NTU101乳酸菌60入【官方直營】,2090,https://24h.pchome.com.tw/prod/DBCQ00-A900FCDM8,https://cs-a.ecimg.tw/items/DBCQ00A900FCDM8/000001_1668995132.jpg,,0,益生菌 NTU101乳酸菌60入【官方直營】,,0.0
PChome,舒密護蔓,舒密護蔓越莓益生菌30入,699,https://24h.pchome.com.tw/prod/DBAUFK-A900B5UCR,https://cs-a.ecimg.tw/items/DBAUFKA900B5UCR/000001_1756711744.jpg,,0,舒密護蔓越莓益生菌30入,,0.0
PChome,舒密護蔓,舒密護蔓越莓益生菌(30入/盒)x2盒,1200,https://24h.pchome.com.tw/prod/DBAUFK-1900B8DON,https://cs-a.ecimg.tw/items/DBAUFK1900B8DON/000001_1756711741.jpg,,0,舒密護蔓越莓益生菌(30入/盒)x2盒,,0.0
PChome,威德益生,威德益生菌 90包,1149,https://24h.pchome.com.tw/prod/DBAUEO-A900HF9LZ,https://cs-a.ecimg.tw/items/DBAUEOA900HF9LZ/000001_1714019973.jpg,,0,威德益生菌 90包,,0.0
PChome,日本,【日本】晶球益生菌長益菌-頂級保健(30條/盒),2500,https://24h.pchome.com.tw/prod/DBBA14-A83080540,https://cs-a.ecimg.tw/items/DBBA14A83080540/000001_1767326053.jpg,,0,【日本】晶球益生菌長益菌-頂級保健(30條/盒),,0.0
PChome,LP28,LP28敏立清Plus益生菌-乳酸x3(30條/盒),1599,https://24h.pchome.com.tw/prod/DBCC0K-1900ICKXJ,https://cs-a.ecimg.tw/items/DBCC0K1900ICKXJ/000001_1766973607.jpg,,0,LP28敏立清Plus益生菌-乳酸x3(30條/盒),,0.0
PChome,美國 r,美國 reFeel 2.0 複合益生菌 PLUS 30包/盒,1358,https://24h.pchome.com.tw/prod/DBAUEO-A900GOV1F,https://cs-a.ecimg.tw/items/DBAUEOA900GOV1F/000001_1695780512.jpg,,0,美國 reFeel 2.0 複合益生菌 PLUS 30包/盒,,0.0
PChome,高濃縮蔓,高濃縮蔓越莓私密益生菌植物膠囊(30顆) x5盒,1995,https://24h.pchome.com.tw/prod/DBDR01-1900F5WAC,https://cs-a.ecimg.tw/items/DBDR011900F5WAC/000001_1764583411.jpg,💊膠囊,0,高濃縮蔓越莓私密益生菌植物膠囊(30顆) x5盒,150.0,13.3
PChome,100億,100億綜合益生菌膠囊一入60顆,863,https://24h.pchome.com.tw/prod/DBCC1R-A900GIHF7,https://cs-a.ecimg.tw/items/DBCC1RA900GIHF7/000001_1765874764.jpg,💊膠囊,0,100億綜合益生菌膠囊一入60顆,60.0,14.38
PChome,黑松生技,【黑松生技】排空消化更輕盈青汁酵素益生菌(30入/盒),1080,https://24h.pchome.com.tw/prod/DBAUHU-A900ERULG,https://cs-a.ecimg.tw/items/DBAUHUA900ERULG/000001_1660210911.jpg,,0,【黑松生技】排空消化更輕盈青汁酵素益生菌(30入/盒),,0.0
PChome,歐敏力 ,歐敏力 九久益生菌28包/盒,1880,https://24h.pchome.com.tw/prod/DBCC1X-A900IIR7P,https://cs-a.ecimg.tw/items/DBCC1XA900IIR7P/000001_1749054620.jpg,,0,歐敏力 九久益生菌28包/盒,,0.0
PChome,益生菌膠,益生菌膠囊B1 PLUS(30顆x1盒),1350,https://24h.pchome.com.tw/prod/DBAUGM-A900F8BSJ,https://cs-a.ecimg.tw/items/DBAUGMA900F8BSJ/000001_1762236508.jpg,💊膠囊,0,益生菌膠囊B1 PLUS(30顆x1盒),30.0,45.0
PChome,益生菌膠,益生菌膠囊30顆(冷藏1盒+常溫1盒),2020,https://24h.pchome.com.tw/prod/DBAUGM-A900F8BUT,https://cs-a.ecimg.tw/items/DBAUGMA900F8BUT/000001_1762236252.jpg,💊膠囊,0,益生菌膠囊30顆(冷藏1盒+常溫1盒),30.0,67.33
PChome,2入組,【2入組】  日本專利益生菌 2gX30包/盒 (19種類酵素 16種類乳酸菌 奶素可食 原廠公司貨),1188,https://24h.pchome.com.tw/prod/DBAUEY-A900BQMSR,https://cs-a.ecimg.tw/items/DBAUEYA900BQMSR/000001_1678952122.jpg,,0,【2入組】  日本專利益生菌 2gX30包/盒 (19種類酵素 16種類乳酸菌 奶素可食 原廠公司貨),,0.0
PChome,MeridLife 樂益活,【MeridLife 樂益活】菌護全能益生菌_60顆,807,https://24h.pchome.com.tw/prod/DBCC22-A900ILOB8,https://cs-a.ecimg.tw/items/DBCC22A900ILOB8/000001_1745205952.jpg,,0,【MeridLife 樂益活】菌護全能益生菌_60顆,60.0,13.45
PChome,威德,【威德】益生菌顆粒(90包),1299,https://24h.pchome.com.tw/prod/DBCC22-A900J7JJC,https://cs-a.ecimg.tw/items/DBCC22A900J7JJC/000001_1757064660.jpg,,0,【威德】益生菌顆粒(90包),,0.0
PChome,益暢敏粉,益暢敏粉末益生菌 (30包/盒),1680,https://24h.pchome.com.tw/prod/DBAUHK-A900B8KE9,https://cs-a.ecimg.tw/items/DBAUHKA900B8KE9/000001_1728974211.jpg,,0,益暢敏粉末益生菌 (30包/盒),,0.0
PChome,樂齡益生,樂齡益生菌(30包入/盒) 3盒/組,1639,https://24h.pchome.com.tw/prod/DBAUEU-A900FEGM1,https://cs-a.ecimg.tw/items/DBAUEUA900FEGM1/000001_1724209091.jpg,,0,樂齡益生菌(30包入/盒) 3盒/組,,0.0
PChome,官方直營,蔓越莓聖潔莓益生菌 30入/盒【官方直營】,1280,https://24h.pchome.com.tw/prod/DBCQ00-A900FCDS2,https://cs-a.ecimg.tw/items/DBCQ00A900FCDS2/000001_1660095637.jpg,,0,蔓越莓聖潔莓益生菌 30入/盒【官方直營】,,0.0
PChome,歐敏力 ,歐敏力 3穩益生菌30包/盒,1880,https://24h.pchome.com.tw/prod/DBCC0K-A900IIR8P,https://cs-a.ecimg.tw/items/DBCC0KA900IIR8P/000001_1749054655.jpg,,0,歐敏力 3穩益生菌30包/盒,,0.0
PChome,YM BIOMED,【YM BIOMED 】一家人益生菌60包X2盒,3268,https://24h.pchome.com.tw/prod/DBAUEO-1900BC4WF,https://cs-a.ecimg.tw/items/DBAUEO1900BC4WF/000001_1741859212.jpg,,0,【YM BIOMED 】一家人益生菌60包X2盒,,0.0
PChome,超級益生,超級益生菌-新 30包/盒(添加百里香次世代防護升級蔡英傑博士領導研發),1512,https://24h.pchome.com.tw/prod/DBCC22-A900IDIRK,https://cs-a.ecimg.tw/items/DBCC22A900IDIRK/000001_1740041844.jpg,,0,超級益生菌-新 30包/盒(添加百里香次世代防護升級蔡英傑博士領導研發),,0.0
PChome,威德 益,威德 益生菌 Probiotics (90包/盒),1299,https://24h.pchome.com.tw/prod/DBAUIS-A900F0UOI,https://cs-a.ecimg.tw/items/DBAUISA900F0UOI/000001_1652263032.jpg,,0,威德 益生菌 Probiotics (90包/盒),,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健X44條超值組,1660,https://24h.pchome.com.tw/prod/DBAD8N-A900GASJY,https://cs-a.ecimg.tw/items/DBAD8NA900GASJY/000001_1735635678.jpg,,0,【日本】晶球益生菌長益菌50+10加強保健X44條超值組,,0.0
PChome,五國專利,五國專利300億ABC益生菌 30包/盒X2,1899,https://24h.pchome.com.tw/prod/DBCC22-A900I18IH,https://cs-a.ecimg.tw/items/DBCC22A900I18IH/000001_1737018017.jpg,,0,五國專利300億ABC益生菌 30包/盒X2,,0.0
PChome,歐敏力 ,歐敏力 熊貓益生菌30包/盒,1880,https://24h.pchome.com.tw/prod/DBCC22-A900IIR0C,https://cs-a.ecimg.tw/items/DBCC22A900IIR0C/000001_1749054587.jpg,,0,歐敏力 熊貓益生菌30包/盒,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),1190,https://24h.pchome.com.tw/prod/QEAB6M-A9005U1BP,https://cs-a.ecimg.tw/items/QEAB6MA9005U1BP/000001_1735634663.jpg,,0,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),,0.0
PChome,1000,1000億益生菌粉包(2gx30包),1320,https://24h.pchome.com.tw/prod/DBDF08-A900ICAGU,https://cs-a.ecimg.tw/items/DBDF08A900ICAGU/000001_1758074783.jpg,,0,1000億益生菌粉包(2gx30包),,0.0
PChome,優倍多Y,優倍多YouBest  蔓越莓益生菌 30包/盒,629,https://24h.pchome.com.tw/prod/DBADDP-A900BE3G8,https://cs-a.ecimg.tw/items/DBADDPA900BE3G8/000001_1739170155.jpg,,0,優倍多YouBest  蔓越莓益生菌 30包/盒,,0.0
